Site,Plot,Subplot,GenusSpecies,CoverPerc,Family,Genus,Species
Ingram,Edge,32.2.10,Chio.pin,,,,
Ingram,Edge,32.2.10,Cham.dee,,,,
Ingram,Edge,32.2.10,Echi.umb,,,,
Ingram,Edge,32.2.10,Schi.gra,,,,
Ingram,Edge,32.2.10,Ayen.eup,,,,
Ingram,Edge,32.2.10,Emil.fos,,,,
Ingram,Edge,32.2.10,Soli.odo,,,,
Ingram,Edge,32.2.10,Albi.leb,,,,
Ingram,Edge,32.2.10,Cass.fil,,,,
Ingram,Edge,32.2.10,Pasp.cae,,,,
Ingram,Edge, 32.4.1,Sere.rep,25,,,
Ingram,Edge, 32.4.1,Andr.glo,5,,,
Ingram,Edge, 32.4.1,Schi.san,20,,,
Ingram,Edge, 32.4.1,Rhus.cop,1,,,
Ingram,Edge, 32.4.1,Pter.aqu,5,,,
Ingram,Edge, 32.4.1,Rhyn.ren,5,,,
Ingram,Edge, 32.4.1,Phyl.pen,1,,,
Ingram,Edge, 32.4.1,Trag.sax,1,,,
Ingram,Edge, 32.4.1,Pass.sub,1,,,
Ingram,Edge, 32.4.1,Jacq.cur,1,,,
Ingram,Edge, 32.4.1,Guet.sca,1,,,
Ingram,Edge, 32.4.1,Cass.fil,1,,,
Ingram,Edge,32.4.10,Andr.ter,,,,
Ingram,Edge,32.4.10,Zami.int,,,,
Ingram,Edge,32.4.10,Meto.tox,,,,
Ingram,Edge,32.4.10,Lant.inv,,,,
Ingram,Edge,32.4.10,Sorg.sec,,,,
Ingram,Edge,32.4.10,Mico.bic,,,,
Ingram,Edge,32.4.10,Agal.fas,,,,
Ingram,Edge,32.4.10,Symp.adn,,,,
Ingram,Edge,32.4.10,Rhyn.flo,,,,
Ingram,Edge,32.4.10,Myrs.cub,,,,
Ingram,Edge,32.4.10,Mori.roy,,,,
Ingram,Edge,32.4.10,Pasp.blo,,,,
Ingram,Edge,32.4.10,Dich.aci,,,,
Ingram,Edge,32.4.10,Smil.hab,,,,
Ingram,Edge,32.4.10,Saba.pal,,,,
Ingram,Edge,32.4.10,Pasp.cae,,,,
Ingram,Edge,32.4.10,Toxi.rad,,,,
Ingram,Edge,32.4.10,Chap.alb,,,,
Ingram,Edge,32.4.10,Soli.odo,,,,
Ingram,Edge,32.4.10,cele.cil,,,,
Ingram,Edge,32.4.10,Dysc.ang,,,,
Ingram,Edge,32.4.10,Smil.aur,,,,
