family,genus,species,established_FL ,native
Amaryllidaceae,Crinum,asiaticum,1,0
Celastraceae,Crossopetalum,ilicifolium,1,1
Fabaceae,Crotalaria,juncea,1,0
Fabaceae,Crotalaria,pallida obovata,1,0
Fabaceae,Crotalaria,pumila,1,1
Fabaceae,Crotalaria,spectabilis,1,0
Euphorbiaceae,Croton,linearis,1,1
Bromeliaceae,Cryptanthus,bivittatus,0,0
Cucurbitaceae,Cucumis,sativus,1,0
Cucurbitaceae,Cucurbita,moschata,1,0
Cucurbitaceae,Cucurbita,pepo,0,0
ZZUnkFam,Cupania?,glabra?,,
Commelinaceae,Cyanotis,nr. obtusa,0,0
Asteraceae,Cyanthillium,cinereum,1,0
Cycadaceae,Cycas,circinalis,0,0
Cycadaceae,Cycas,revoluta,1,0
Apiaceae,Cyclospermum,leptophyllum,1,0
Poaceae,Cyonodon,dactylon,1,0
Cyperaceae,Cyperus,compressus,1,1
Cyperaceae,Cyperus,croceus,1,1
Cyperaceae,Cyperus,esculentus,1,0
Cyperaceae,Cyperus,hyalinus,1,0
Cyperaceae,Cyperus,polystachios,1,1
Cyperaceae,Cyperus,rotundus,1,0
Cyperaceae,Cyperus [Kyllinga],brevifolius,1,0
Cyperaceae,Cyperus [Kyllinga],metzii [squamulata],1,0
Poaceae,Dactyloctenium,aegyptium,1,0
Lauraceae,Danburneya [Ocotea],coriacea,1,1
Fabaceae,Delonix,regia,1,0
Orchidaceae,Dendrobium,sp.,,
Fabaceae,Desmanthus,leptophyllus,1,0
Fabaceae,Desmodium,incanum,1,0
Fabaceae,Desmodium,lineatum,1,1
Fabaceae,Desmodium,tortuosum,1,0
Fabaceae,Desmodium,triflorum,1,0
Hemorocallidaceae,Dianella,ensifolia/madagascarensis,,0
Poaceae,Dichanthelium,aciculare,1,1
Poaceae,Dichanthelium,ensifolium ensifolium,1,1
Poaceae,Dichanthelium,ovale,1,1
Poaceae,Dichanthelium,strigosum glabrescens,1,1
Poaceae,Dichanthium,aristatum,1,0
Convolvulaceae,Dichondra,micrantha,1,0
Arecaceae,Dictyosperma ,album,0,0
Iridaceae,Dietes,bicolor,0,0
Poaceae,Digitaria,ciliaris,1,1
Sapindaceae,Dimocarpus,longan,1,0
Sapindaceae,Dimocarpus,sp.,0,0
Poaceae,Dinebra,panicea,1,1
Rubiaceae,Diodea,nr. virginica,1,1
Zamiaceae,Dioon,edule,0,0
Zamiaceae,Dioon,holmgrenii/sonorense,0,0
Zamiaceae,Dioon,mejiae,0,0
Ebenaceae,Diospyros ,discolor,0,0
Ebenaceae,Diospyros ,ebe/ebenum,,0
Ebenaceae,Diospyros ,mespiliformis [senegalensis],0,0
Ebenaceae,Diospyros ,nigra [dignya],0,0
Convolvulaceae,Distimake,dissectus,1,1
Malvaceae,Dombeya,Cayeuxii',0,0
Salicaceae,Dovyalis,abyssinica,0,0
Salicaceae,Dovyalis,caffra ,0,0
Salicaceae,Dovyalis,hebecarpa,0,0
Asparagaceae,Dracaena,fragrans,0,0
Asparagaceae,Dracaena,marginata,0,0
Caryophyllaceae,Drymaria,cordata,1,0
Putranjivaceae,Drypetes,lateriflora,1,1
Verbenaceae,Duranta,erecta,1,0
Arecaceae,Dypsis,cabidae,0,0
Arecaceae,Dypsis,decaryi,0,0
Arecaceae,Dypsis,lutescens,1,0
Acanthaceae,Dyschoriste,angusta,1,1
Fabaceae,Ebenopsis , ebano,0,0
Poaceae,Echinochloa,colona,1,0
Poaceae,Echinochloa,crusgalli,1,0
Apocynaceae,Echites,umbellatus,1,1
Asteraceae,Eclipta,prostrata,1,1
Boraginaceae,Ehretia,anacua,,0
Arecaceae,Elaeis,guineensis,1,0
Poaceae,Eleusine,indica,1,0
Asteraceae,Emilia,fosbergii,1,0
Asteraceae,Emilia,sonchifolia,1,0
Zamiaceae,Encephalartos,gratus,0,0
Zamiaceae,Encephalartos/Dioon,sp.,0,0
Orchidaceae,Encyclia,tampensis,1,1
Fabaceae,Enterolobium,contortisiliqum/cyclocarpum,1,0
Araceae,Epipremnum,pinnatum,1,0
Poaceae,Eragrostis,amabilis,1,0
Poaceae,Eragrostis,bahiensis,1,0
Poaceae,Eragrostis,barrelieri,1,0
Poaceae,Eragrostis,ciliaris,1,0
Poaceae,Eragrostis,elliottii,1,1
Asteraceae,Erechtites,hieracifolius,1,1
Poaceae,Eremochloa,ophiuroides,1,0
Rosaceae,Eriobotrya,japonica,1,0
Fabaceae,Erythrina,herbacea,1,1
Myrtaceae,Eugenia,"""vuehlo"" (no such species)",0,0
Myrtaceae,Eugenia,aggregata,0,0
Myrtaceae,Eugenia,axillaris,1,1
Myrtaceae,Eugenia,brasiliensis ,0,0
Myrtaceae,Eugenia,confusa,1,1
Myrtaceae,Eugenia,foetida,1,1
Myrtaceae,Eugenia,luschnathiana,0,0
Myrtaceae,Eugenia,rhombea,1,1
Myrtaceae,Eugenia,uniflora,1,0
Orchidaceae,Eulophia,graminea,1,0
ZZUnkFam,Euonymus?,?,,
Asteraceae,Eupatorium,capillifolium,1,1
Euphorbiaceae,Euphorbia,graminea,1,0
Euphorbiaceae,Euphorbia,lactea,0,0
Euphorbiaceae,Euphorbia,milii,1,0
Euphorbiaceae,Euphorbia,nr. ingens,,0
Euphorbiaceae,Chamaesyce,hirta,1,1
Euphorbiaceae,Chamaesyce,hypericifolia,1,1
Euphorbiaceae,Chamaesyce,hyssopifolia,1,1
Euphorbiaceae,Chamaesyce,lasiocarpa,1,0
Euphorbiaceae,Chamaesyce,mendezii,1,0
Euphorbiaceae,Chamaesyce,opthalmica,1,1
Euphorbiaceae,Chamaesyce,prostrata,1,1
Euphorbiaceae,Euphorbia,cyathophora,1,1
Euphorbiaceae,Euphorbia,heterophylla,1,1
Euphorbiaceae,Euphorbia [Poinsettia],pinetorum,1,1
Boraginaceae,Euploca [Heliotropium],procumbens,1,0
Poaceae,Eustachys,petraea,1,1
Convolvulaceae,Evolvulus,sericeus,1,1
Sapindaceae,Exothea,paniculata,1,1
Moraceae,Ficus,aurea,1,1
Moraceae,Ficus,benjamina,1,0
Moraceae,Ficus,lyrata,0,0
Moraceae,Ficus,microcarpa,1,0
Moraceae,Ficus,religiosa,1,0
Cyperaceae,Fimbristylis,cymosa,1,1
Salicaceae,Flacourtia,indica,1,0
Oleaceae,Forestiera,segregata,1,1
Rosaceae,Frageria,sp.,,
Oleaceae,Fraxinus,uhdei,0,0
Papaveraceae,Fumaria,officinalis,1,0
Rubiaceae,Galium,hispidulum,1,1
Malpighiaceae,Galphimia,gracilis,1,0
Asteraceae,Gamochaeta,pensylvanica,1,0
Euphorbiaceae,Garcia,nutans,0,0
Clusiaceae,Garcinia,livingstonei,0,0
Clusiaceae,Garcinia,subelliptica/spicata/ovalifolius var.spicata,0,0
Clusiaceae,Garcinia,xanthochymus [tinctoria],0,0
Rubiaceae,Gardenia,sp.1,0,0
Rubiaceae,Gardenia,sp.2,0,0
Chrysobalanaceae,Geobalanus,oblongifolius,1,1
Geraniaceae,Geranium ,carolinianum,1,1
Commelinaceae,Gibasis,pellucida,1,0
Orchidaceae,Grammatophyllum,multiflorum,0,0
Zygophyllaceae,Guaiacum,sanctum,1,1
Rubiaceae,Guettarda,scabra,1,1
Bromeliaceae,Guzmania,lingulata,,0
Euphorbiaceae,Gymnanthes,lucida,1,1
Rubiaceae,Hamelia,patens,1,1
Bignoniaceae,Handroanthus [Tabebuia],chrysotricha/chrysantha,,0
Bignoniaceae,Handroanthus [Tabebuia],impetiginosa,0,0
Bignoniaceae,Handroanthus [Tabebuia],sp.,0,0
Heliconiaceae,Heliconia,nr. acuminata,0,0
Heliconiaceae,Heliconia,rostrata,0,0
Malvaceae,Herissantia,crispa,1,1
Arecaceae,Heterospathe,elata,0,0
Malvaceae,Hibiscus,rosa-sinensis rosa-sinensis,1,0
Asteraceae,Hieracium,megacephalon,1,1
Bromeliaceae,Hohenbergia,nr. stellata,0,0
Rubiaceae,Houstonia [Hedyotis],procumbens,1,1
Violaceae,Hybanthus,linearifolius,1,0
Araliaceae,Hydrocotyle,umbellata,1,1
Arecaceae,Hyophorbe,langenocaulis,0,0
Arecaceae,Hyophorbe,verschaffeltii,0,0
Poaceae,Hyparrhenia,rufa,1,0
Arecaceae,Hyphaene,coriacea,0,0
Hypoxidaceae,Hypoxis,juncea/sessilis/wrightii,1,1
Balsaminaceae,Impatiens,walleriana,1,0
Poaceae,Imperata,brasiliensis,1,1
Fabaceae,Indigofera,spicata,1,0
Fabaceae,Indigofera,suffruticosa,1,0
Fabaceae,Indigofera,tinctoria,,0
Convolvulaceae,Ipomoea,alba,1,1
Convolvulaceae,Ipomoea,batatas,1,0
Convolvulaceae,Ipomoea,hederifolia,1,1
Convolvulaceae,Ipomoea,indica,1,1
Convolvulaceae,Ipomoea,tenuissima,1,1
Convolvulaceae,Ipomoea,triloba,1,0
Rubiaceae,Ixora,coccinea,1,0
Bignoniaceae,Jacaranda,sp.,,0
Convolvulaceae,Jacquemontia,curtissii,1,1
Oleaceae,Jasminum,dichotomum,1,0
Oleaceae,Jasminum,fluminense,1,0
Euphorbiaceae,Jatropha,curcas,1,0
Euphorbiaceae,Jatropha,integerrima,1,0
Cupressaceae,Juniperus,chinensis,0,0
Zygophyllaceae,Kallstroemia,maxima,1,1
Bignoniaceae,Kigelia,africana,0,0
Sapindaceae,Koelreuteria,elegans,1,0
Rhamnaceae,Krugiodendron,ferrum,1,1
Lythraceae,Lagerstroemia,speciosa,0,0
Verbenaceae,Lantana,depressa,1,1
Verbenaceae,Lantana,involucrata,1,1
Verbenaceae,Lantana,strigocamara,1,0
Urticaceae,Laportea,aestuans,1,0
Arecaceae,Latania,lontaroides,0,0
Brassicaceae,Lepidium,virginicum,1,1
Brassicaceae,Lepidium,didynum,1,0
Fabaceae,Leucania,leucocephala,1,0
Arecaceae,Leucothrinax,morrisi,1,1
Asteraceae,Liatris,gracilis,1,1
Chrysobalanaceae,Licania,rigida,0,0
Chrysobalanaceae,Licania,tomentosa,0,0
