Location,Site,SiteCode,Soil,Rock,Wood,Litter,StandingDead,Water,Lichen,Moss,OtherNonVascular,Scat
Fuchs Addition,Center,32.2.1,1,1,70,25,10,0,5,0,0,0
Fuchs Addition,Center,32.4.1,5,15,10,10,1,0,1,1,1,0
Fuchs Addition,Center,40.1.1,1,35,10,15,10,0,1,5,1,0
Fuchs Addition,Center,40.3.1,1,35,10,20,30,0,0,1,1,0
Fuchs Addition,Center,41.1.1,1,10,15,10,1,0,1,1,0,0
Fuchs Addition,Center,41.4.1,1,10,30,20,5,0,1,1,0,0
Fuchs Addition,Edge,31.1.1,1,10,15,70,15,0,1,1,1,0
Fuchs Addition,Edge,31.4.1,1,0,1,80,30,0,1,1,0,0
Fuchs Addition,Edge,32.2.1,0,0,5,80,0,0,1,0,0,0
Fuchs Addition,Edge,32.4.1,0,0,30,30,5,0,1,5,0,0
Fuchs Addition,Edge,40.1.1,0,5,5,60,20,0,1,1,0,0
Fuchs Addition,Edge,40.3.1,5,1,20,80,40,0,1,0,0,0
Fuchs Addition,Edge,41.1.1,1,0,5,75,1,0,1,0,0,0
Fuchs Addition,Edge,41.4.1,1,5,10,40,1,0,1,0,0,0
Fuchs Addition,Lawn,31.1.1,5,0,0,0,20,0,0,0,0,0
Fuchs Addition,Lawn,31.4.1,1,0,0,1,30,1,0,0,0,0
Fuchs Addition,Lawn,32.2.1,1,0,0,15,0,0,0,0,0,0
Fuchs Addition,Lawn,40.1.1,1,0,0,1,35,0,0,0,0,0
Fuchs Addition,Lawn,40.3.1,1,0,0,5,30,0,0,0,0,0
Fuchs Addition,Lawn,41.1.1,5,0,0,30,0,0,0,0,0,0
Fuchs Addition,Lawn,41.4.1,1,0,0,20,0,0,0,0,0,0
Navy Wells,Lawn,31.1.1,1,0,0,5,45,0,0,0,0,0
Navy Wells,Lawn,31.4.1,10,1,0,10,30,0,0,0,0,0
Navy Wells,Lawn,32.2.1,1,1,0,1,0,0,0,0,0,0
Navy Wells,Lawn,32.4.1,50,5,0,1,0,0,0,0,0,0
Navy Wells,Lawn,40.1.1,20,1,0,5,40,0,0,0,0,1
Navy Wells,Lawn,40.3.1,20,20,15,20,1,0,0,0,1,0
Navy Wells,Lawn,41.1.1,20,10,1,20,0,0,0,0,0,0
Navy Wells,Lawn,41.4.1,30,60,5,1,5,0,5,1,1,0
Navy Wells,Edge,31.1.1,1,70,5,30,5,0,1,0,1,0
Navy Wells,Edge,31.4.1,15,70,5,15,10,0,0,0,5,0
Navy Wells,Edge,32.2.1,5,70,5,5,1,0,1,0,0,0
Navy Wells,Edge,32.4.1,10,75,1,1,1,0,0,1,0,0
Navy Wells,Edge,40.1.1,5,90,1,5,5,0,0,0,1,0
Navy Wells,Edge,40.3.1,1,45,1,40,5,0,0,0,0,0
Navy Wells,Edge,41.1.1,5,80,1,10,5,0,1,0,0,0
Navy Wells,Edge,41.4.1,85,1,5,1,0,1,0,0,0,0
Navy Wells,Center,31.1.1,30,45,10,15,5,0,1,0,1,0
Navy Wells,Center,31.4.1,10,80,5,15,1,0,1,0,0,0
Navy Wells,Center,32.2.1,5,80,5,10,0,0,1,0,0,0
Navy Wells,Center,32.4.1,5,80,1,10,5,0,1,0,0,0
Navy Wells,Center,40.1.1,15,80,1,5,5,0,1,0,0,0
