Location,Site,SiteCode,GenusSpecies,CoverPerc,Family,Genus,Species
TREC,Center,31.1.10,chap.alb,,,,
TREC,Center,31.4.1,,,,,
TREC,Center,31.4.1,saba.pal,15,,,
TREC,Center,31.4.1,aesc.vic,1,,,
TREC,Center,31.4.1,cham.nic,0.5,,,
TREC,Center,31.4.1,mela.niv,5,,,
TREC,Center,31.4.1,phyl.pen,0.5,,,
TREC,Center,31.4.1,acal.cha,0.5,,,
TREC,Center,31.4.1,eust.pet,1,,,
TREC,Center,31.4.1,hypa.ruf,5,,,
TREC,Center,31.4.1,dysc.ang,0.5,,,
TREC,Center,31.4.1,rhyn.ren,0.5,,,
TREC,Center,31.4.1,euph.pin,0.5,,,
TREC,Center,31.4.1,andr.sp,5,,,
TREC,Center,31.4.1,cass.fil,0.5,,,
TREC,Center,31.4.1,scle.cil,0.5,,,
TREC,Center,31.4.1,trag.sax,0.5,,,
TREC,Center,31.4.1,cocc.arg,0.5,,,
TREC,Center,31.4.1,sorg.sec,0.5,,,
TREC,Center,31.4.1,pasp.blo,1,,,
TREC,Center,31.4.10,cros.ili,,,,
TREC,Center,31.4.10,cnid.sti,,,,
TREC,Center,31.4.10,euph.cya,,,,
TREC,Center,31.4.10,rand.acu,,,,
TREC,Center,31.4.10,desm.inc,,,,
TREC,Center,31.4.10,impe.bra,,,,
TREC,Center,31.4.10,ruel.suc,,,,
TREC,Center,31.4.10,asem.vio,,,,
TREC,Center,31.4.10,schi.san,,,,
TREC,Center,31.4.10,erag.ell,,,,
TREC,Center,31.4.10,pinu.ell,,,,
TREC,Center,31.4.10,quer.vir,,,,
TREC,Center,31.4.10,jasm.sam*,,,,
TREC,Center,31.4.10,lant.str,,,,
TREC,Center,31.4.10,pter.pyc,,,,
TREC,Center,31.4.10,rhus.cop,,,,
TREC,Center,31.4.10,pter.aqu,,,,
TREC,Center,31.4.10,meto.tox,,,,
TREC,Center,31.4.10,piri.cis,,,,
TREC,Center,31.4.10,chro.odo,,,,
TREC,Center,31.4.10,pass.sub,,,,
TREC,Center,31_100,soli.odo,,,,
TREC,Center,31_100,phle.aur,,,,
TREC,Center,31_100,smil.aur,,,,
TREC,Center,31_100,chio.par,,,,
TREC,Center,31_100,ambr.art,,,,
TREC,Center,31_100,lant.inv,,,,
TREC,Center,31_100,gali.berm,,,,
TREC,Center,31_100,cana.bra,,,,
TREC,Center,31_100,jacq.cur,,,,
TREC,Center,31_100,zami.int,,,,
TREC,Center,31_100,nept.pub,,,,
TREC,Center,31_100,ayen.eup,,,,
TREC,Center,31_100,echi.umb,,,,
TREC,Center,32.2.1,,,,,
TREC,Center,32.2.1,meto.tox,20,,,
TREC,Center,32.2.1,chio.par,5,,,
TREC,Center,32.2.1,cros.ili,1,,,
TREC,Center,32.2.1,unknown legume,1,,,
TREC,Center,32.2.1,phyl.pen,1,,,
TREC,Center,32.2.1,jasm.dic,1,,,
TREC,Center,32.2.1,guet.sca,1,,,
TREC,Center,32.2.10,bide.alb,,,,
TREC,Center,32.2.10,zami.int,,,,
TREC,Center,32.2.10,trem.mic,,,,
TREC,Center,32.2.10,pass.sub,,,,
TREC,Center,32.2.10,pasp.blo,,,,
TREC,Center,32.2.10,dysc.ang,,,,
TREC,Center,32.2.10,pter.aqu,,,,
TREC,Center,32.2.10,quer.vir,,,,
TREC,Center,32.2.10,mori.roy,,,,
TREC,Center,32.2.10,asem.vio,,,,
TREC,Center,32.2.10,rhyn.flo,,,,
TREC,Center,32.2.10,mela.niv,,,,
TREC,Center,32.2.10,cassfil,,,,
TREC,Center,32.2.10,aris.pur,,,,
TREC,Center,32.2.10,andr.sp,,,,
TREC,Center,32.2.10,ipom.sp,,,,
TREC,Center,32.4.1,,,,,
TREC,Center,32.4.1,lysi.lat,10,,,
TREC,Center,32.4.1,meto.tox,15,,,
